Date,Time,Direction,Contact,Phone,Content,Type
2025-07-21,11:57:16,Received,MobileMoney,MobileMoney,Vous avez recu 500 XAF de LOVELINE NGEFOR NGU EPSE NGWAMULAH (237677836240) sur votre compte mobile money à 2025-07-21 11:57:16. Message de l'expéditeur: 1. Votre nouveau solde: 554 XAF. FRAIS: FCFA 0. Financial Transaction Id: 13327295661.,SMS
2025-07-21,11:58:08,Received,MobileMoney,MobileMoney,"Une transaction de 500 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2025-07-21 11:58:07. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 54 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 13327302799. ID de transaction externe : 4146332635640771539. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-22,05:58:26,Received,MobileMoney,MobileMoney,Solde Courant: 54 FCFA ; Solde disponible: 54 FCFA ; Solde Credit de communication: 1 FCFA; Cadeau MTN MoMo: 0.,SMS
2025-07-22,08:47:09,Received,MobileMoney,MobileMoney,"Votre paiement de 50 XAF a MTNC BUNDLES_FORFAITS a ete effectue le 2025-07-22 08:46:53. Votre nouveau solde: 4 XAF. Frais: 0 XAF. Message: -. Transaction Id: 13336192989. Souscrivez à MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo complètera le montant.",SMS
2025-07-22,19:26:55,Received,MobileMoney,MobileMoney,"Vous avez recu 500 XAF de WILLY DISTRIBUTION KAMBOU EDITH (237683683015 EDITH KAMBOU) sur votre compte Mobile Money 2025-07-22 19:26:53. Message de l'expediteur:. Votre nouveau solde est de 504 FCFA. Frais: 0 XAF. Transaction ID: 13343851931. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-22,19:28:00,Received,MobileMoney,MobileMoney,"Une transaction de 500 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2025-07-22 19:27:31. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 4 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 13343856768. ID de transaction externe : 102821226980156700. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-23,18:56:47,Received,MobileMoney,MobileMoney,Vous avez recu 500 XAF de PHANNEL NWAFOR NGWAMULAH (237675413579) sur votre compte mobile money à 2025-07-23 18:56:46. Message de l'expéditeur: 12. Votre nouveau solde: 504 XAF. FRAIS: FCFA 0. Financial Transaction Id: 13354348812.,SMS
2025-07-23,19:00:37,Received,MobileMoney,MobileMoney,"Une transaction de 500 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2025-07-23 19:00:37. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 4 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 13354398180. ID de transaction externe : 4688810642579611414. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-25,20:31:49,Received,MobileMoney,MobileMoney,"Vous avez recu 500 XAF de WILLY DISTRIBUTION KAMBOU EDITH (237683683015 EDITH KAMBOU) sur votre compte Mobile Money 2025-07-25 20:31:47. Message de l'expediteur:. Votre nouveau solde est de 504 FCFA. Frais: 0 XAF. Transaction ID: 13377807652. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-25,20:35:05,Received,MobileMoney,MobileMoney,"Une transaction de 500 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2025-07-25 20:34:57. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 4 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 13377838534. ID de transaction externe : 7657811994192234227. Souscrivez a MoMo Helep avec *126*61# et completez vos transactions : meme sans argent, initiez vos paiements et transferts et MoMo completera le montant.",SMS
2025-07-27,06:36:17,Received,MobileMoney,MobileMoney,Vous avez recu 500 XAF de PHANNEL NWAFOR NGWAMULAH (237675413579) sur votre compte mobile money à 2025-07-27 06:36:18. Message de l'expéditeur: 1. Votre nouveau solde: 504 XAF. FRAIS: FCFA 0. Financial Transaction Id: 13392298471.,SMS
